vid,name,country
6779,Emre Çolak,Turkey
6780,Ivi López,Spain
6781,Raúl Fernández,Spain
6782,Enis Bardhi,"Macedonia, Republic of"
6783,Samu,Spain
6784,Toño,Spain
6785,Yassine Bounou,Morocco
6786,David Timor,Spain
6787,Pedro López,Spain
6788,Xabier Etxeita,Spain
6789,Mikel Balenziaga,Spain
6790,Mario Hermoso,Spain
6791,Javi López,Spain
6792,Pau López,Spain
6794,Gustavo Cabral,Argentina
6795,Rubén Blanco,Spain
6796,Nemanja Radoja,Serbia
6797,Daniel Wass,Denmark
6798,Stanislav Lobotka,Slovakia
6799,Brais Méndez,Spain
6800,Carles Gil,Spain
6801,Pablo Hernández,Chile
6802,Jonny Castro,Spain
6803,Emre Mor,Turkey
6804,Sergi Gómez,Spain
6805,Hugo Mallo,Spain
6806,Shaq Moore,United States of America
6807,Rober,Spain
6808,Nano,Spain
6809,Erick Cabaco,Uruguay
6810,José Arnáiz,Spain
6821,Jesús Navas,Spain
6822,Joaquín Correa,Argentina
6823,Sergio Rico,Spain
6824,Lionel Carole,France
6825,Daniel Carriço,Portugal
6826,Clément Lenglet,France
6827,Daniele Bonera,Italy
6828,Jaume Costa,Spain
6829,Samu Castillejo,Spain
6830,Facundo Roncaglia,Argentina
6831,Francis Guerrero,Spain
6832,Rubén Castro,Spain
6833,Martín Mantovani,Argentina
6834,Gerard Gumbau,Spain
6835,Alin Toșca,Romania
6836,Javi García,Spain
6837,Mauro dos Santos,Argentina
6838,Hernán Pérez,Paraguay
6839,Dani Torres,Colombia
6840,Marcos Llorente,Spain
6841,Vitolo,Spain
6842,Iker Muniain,Spain
6843,Esteban Rolón,Argentina
6844,Federico Ricca,Uruguay
6845,Ager Aketxe,Spain
6846,Andreas Pereira,Brazil
6847,Adalberto Peñaranda,Venezuela (Bolivarian Republic)
6848,Andrés Prieto,Spain
6849,Lucas Digne,France
6851,Aitor Ruibal,Spain
6852,Jozabed Sánchez,Spain
6854,Ramiro Guerra,Uruguay
6855,Guillermo Maripán,Chile
6856,Carlos Vigaray,Spain
6857,Rúben Semedo,Portugal
6858,Sergio Mora,Spain
6859,Nicola Sansone,Italy
6860,Mariano Barbosa,Argentina
6861,Juan Cala,Spain
6862,Cédric Bakambu,"Congo, (Kinshasa)"
6863,Mauro Arambarri,Uruguay
6864,Álvaro Jiménez,Spain
6865,Francisco Molinero,Spain
6866,Marc Roca,Spain
6867,Pape Diop,Senegal
6868,Bruno Gama,Portugal
6869,Alejandro Arribas,Spain
6870,José Jurado,Spain
6872,Bruno González,Spain
6873,Francisco Portillo,Spain
6874,Ermedin Demirović,Bosnia and Herzegovina
6875,Alexander Szymanowski,Argentina
6876,Róbert Mazáň,Slovakia
6877,Yeray Álvarez,Spain
6878,Miguel Torres,Spain
6879,Alberto Bueno,Spain
6880,Antonio Sanabria,Paraguay
6881,Christian Santos,Venezuela (Bolivarian Republic)
6883,Álex Alegría,Spain
6884,Sergio Álvarez,Spain
6885,Kévin Rodrigues,Portugal
6886,Dídac Vilá,Spain
6887,Jonás Ramalho,Angola
6888,Aleix García,Spain
6889,Chuca,Spain
6890,Andreu Fontàs,Spain
6891,Ezequiel Garay,Argentina
6892,Pau Torres,Spain
6893,Jesús Vallejo Lázaro,Spain
6894,Ezequiel Muñoz,Argentina
6895,Diego Rico,Spain
6896,Marlos Moreno,Colombia
6897,Michael Olunga,Kenya
6898,Jaume Doménech,Spain
6899,Rubén Pardo,Spain
6900,Rafa Navarro,Spain
6901,Nemanja Maksimović,Serbia
6902,Óscar Melendo,Spain
6903,Aleksandar Katai,Serbia
6904,Sergio Sánchez,Spain
6906,Jon Bautista,Spain
6907,Pedro León,Spain
6908,Iván Alejo,Spain
6909,Emiliano Martínez,Argentina
6910,Edu Expósito,Spain
6913,Fernando Navarro,Spain
6914,Tito,Spain
6918,Isaac Success,Nigeria
6919,Guilherme Arana,Brazil
6920,Alberto Aquilani,Italy
6921,Matías Aguirregaray,Uruguay
6922,Míchel,Brazil
6923,Ximo Navarro,Spain
6924,Alejandro Gálvez,Spain
6925,Jairo Samperio,Spain
6926,Alen Halilović,Croatia
6927,David García,Spain
6928,Tana,Spain
6929,Vicente Gómez,Spain
6930,Jonathan Calleri,Argentina
6931,Leandro Chichizola,Argentina
6932,Dani Castellano,Spain
6934,Momo,Spain
6935,Adrián Marín,Spain
6936,Erik Expósito,Spain
6947,Miralem Pjanić,Bosnia and Herzegovina
6982,Maxime Gonalons,France
6997,Borja Valero,Spain
6998,Rafinha,Brazil
7005,João Cancelo,Portugal
7006,Papu Gómez,Argentina
7022,Suso,Spain
7029,José Callejón,Spain
7030,Raúl Albiol,Spain
7033,Nikola Kalinić,Croatia
7034,Mateo Musacchio,Argentina
7040,Marko Rog,Croatia
7055,Stefano Sorrentino,Italy
7062,Adrián Diéguez,Spain
7063,Jefferson Montero,Ecuador
7064,Lucas Boyé,Argentina
7068,Marc Bartra,Spain
7069,Miguel Ángel Moyá,Spain
7104,Mathías Olivera,Uruguay
7105,Fabián Orellana,Chile
7125,Khouma Babacar,Senegal
7141,Giuseppe Rossi,Italy
7154,Sebastián Cristóforo,Uruguay
7158,Cristiano Biraghi,Italy
7161,Germán Pezzella,Argentina
7170,Simone Verdi,Italy
7183,El Hacen,Mauritania
7216,Zakarya Bergdich,Morocco
7321,Liassine Cadamuro,Algeria
7361,Pablo Chavarría,Argentina
7428,Alexandre Coeff,France
7456,Diego Perotti,Argentina
7459,Jawad El Yamiq,Morocco
7468,Iago Falqué,Spain
7469,Salvatore Sirigu,Italy
7476,Emiliano Moretti,Italy
7478,Álex Berenguer,Spain
7577,Carles Planas,Spain
7578,Anthony Lozano,Honduras
7621,Hugo Duro,Spain
7669,Marquitos,Spain
7692,Mauricio Lemos,Uruguay
7699,Daniele Verde,Italy
7701,Franco Zuculini,Argentina
7781,Felipe Caicedo,Ecuador
7782,Luis Alberto,Spain
7788,Ciro Immobile,Italy
7797,Rodrigo De Paul,Argentina
7804,Alberto Brignoli,Italy
7897,Cifu,Spain
7900,Bebé,Cape Verde
7904,Javi Castellano,Spain
