,goals,assists,saves,yellow_cards,red_cards,minutes_played,matches,goals_p90,assists_p90,saves_p90,cards_p90,cluster,name,country
190,0,1,0,3,0,1260.0,28,0.0,0.07142857142857142,0.0,0.2142857142857143,0,Pichu,Spain
191,0,1,0,4,0,881.0,15,0.0,0.1021566401816118,0.0,0.4086265607264472,0,Rubén Duarte,Spain
192,1,0,0,10,0,1401.0,25,0.06423982869379015,0.0,0.0,0.6423982869379015,0,Alexis Ruano,Spain
193,3,2,0,0,0,1261.0,14,0.2141157811260904,0.14274385408406026,0.0,0.0,0,Munir El Haddadi,Morocco
194,2,0,0,1,0,383.0,6,0.4699738903394256,0.0,0.0,0.2349869451697128,0,Ibai Gómez,Spain
195,0,0,0,1,0,135.0,1,0.0,0.0,0.0,0.6666666666666667,0,Vitorino Antunes,Portugal
196,0,1,0,1,0,1006.0,14,0.0,0.08946322067594432,0.0,0.08946322067594432,0,Tomás Pina,Spain
197,1,2,0,1,0,677.0,10,0.1329394387001477,0.2658788774002954,0.0,0.1329394387001477,0,Burgui,Spain
198,0,0,0,5,0,422.0,6,0.0,0.0,0.0,1.066350710900474,0,Mubarak Wakaso,Ghana
199,0,2,0,6,0,1140.0,24,0.0,0.15789473684210525,0.0,0.47368421052631576,0,Damián Suárez,Uruguay
200,1,2,0,2,0,1474.0,19,0.061058344640434185,0.12211668928086837,0.0,0.12211668928086837,0,Jorge Molina,Spain
201,1,0,0,3,0,723.0,12,0.12448132780082988,0.0,0.0,0.37344398340248963,0,Markel Bergara,Spain
202,0,0,0,1,0,135.0,3,0.0,0.0,0.0,0.6666666666666667,0,Djene Dakonam,Togo
203,0,0,0,1,0,160.0,2,0.0,0.0,0.0,0.5625,0,Rodrigo Ely,Brazil
204,0,0,0,1,0,135.0,3,0.0,0.0,0.0,0.6666666666666667,0,Riza Durmisi,Denmark
205,0,0,0,8,0,1035.0,22,0.0,0.0,0.0,0.6956521739130435,0,Zouhair Feddal,Morocco
206,0,0,0,2,0,376.0,7,0.0,0.0,0.0,0.4787234042553191,0,Aïssa Mandi,Algeria
207,0,1,0,6,0,2263.0,33,0.0,0.039770216526734424,0.0,0.23862129916040656,0,De Marcos,Spain
208,1,3,0,2,0,2572.0,27,0.034992223950233284,0.10497667185069985,0.0,0.06998444790046657,0,Joaquín,Spain
209,0,0,0,2,0,323.0,4,0.0,0.0,0.0,0.5572755417956656,0,Jordi Amat,Spain
210,0,0,0,5,0,1502.0,32,0.0,0.0,0.0,0.2996005326231691,0,Antonio Adán,Spain
211,0,1,0,0,0,609.0,7,0.0,0.14778325123152708,0.0,0.0,0,Fabián Ruiz,Spain
212,2,1,0,1,0,952.0,10,0.18907563025210083,0.09453781512605042,0.0,0.09453781512605042,0,Mikel Rico,Spain
213,6,3,0,0,0,914.0,16,0.5908096280087527,0.29540481400437635,0.0,0.0,0,Cristian Tello,Spain
214,2,1,0,0,0,1278.0,19,0.14084507042253522,0.07042253521126761,0.0,0.0,0,Víctor Camarasa,Spain
215,0,0,0,7,0,1357.0,18,0.0,0.0,0.0,0.46425939572586583,0,Antonio Barragán,Spain
216,0,0,0,7,0,1456.0,31,0.0,0.0,0.0,0.4326923076923077,0,Íñigo Martínez,Spain
217,4,0,0,0,0,943.0,10,0.3817603393425239,0.0,0.0,0.0,0,Sabin Merino,Spain
218,0,0,0,1,0,284.0,3,0.0,0.0,0.0,0.31690140845070425,0,Mikel Vesga,Spain
219,8,4,0,3,0,2283.0,23,0.31537450722733246,0.15768725361366623,0.0,0.11826544021024968,0,José Luis Morales,Spain
220,2,3,0,1,0,1064.0,11,0.16917293233082706,0.2537593984962406,0.0,0.08458646616541353,0,David Zurutuza,Spain
221,1,2,0,9,0,1492.0,21,0.06032171581769437,0.12064343163538874,0.0,0.5428954423592492,0,Asier Illarramendi,Spain
222,0,2,0,4,0,1241.0,21,0.0,0.145044319097502,0.0,0.290088638195004,0,Coke,Spain
223,1,0,0,3,0,1387.0,13,0.06488824801730353,0.0,0.0,0.1946647440519106,0,Sergio Canales,Spain
224,0,0,0,2,0,630.0,13,0.0,0.0,0.0,0.2857142857142857,0,Alberto de la Bella,Spain
225,0,0,0,1,0,725.0,11,0.0,0.0,0.0,0.12413793103448274,0,Antonio Luna,Spain
226,0,0,0,1,0,217.0,3,0.0,0.0,0.0,0.4147465437788018,0,Igor Zubeldía,Spain
227,11,1,0,1,0,993.0,13,0.9969788519637462,0.09063444108761329,0.0,0.09063444108761329,0,Imanol Agirretxe,Spain
228,0,0,0,1,0,118.0,1,0.0,0.0,0.0,0.7627118644067796,0,Emmanuel Boateng,Ghana
229,2,0,0,7,0,1881.0,26,0.09569377990430623,0.0,0.0,0.33492822966507174,0,Aritz Elustondo,Spain
230,5,4,0,7,0,2068.0,22,0.21760154738878146,0.17408123791102514,0.0,0.30464216634429403,0,Rubén Rochina,Spain
231,0,0,0,1,0,249.0,4,0.0,0.0,0.0,0.36144578313253006,0,Sergio Postigo,Spain
232,0,1,0,1,0,900.0,9,0.0,0.1,0.0,0.1,0,Roger Martí,Spain
233,2,0,0,0,0,1163.0,12,0.15477214101461736,0.0,0.0,0.0,0,Mikel Oyarzabal,Spain
234,1,1,0,0,0,351.0,3,0.25641025641025644,0.25641025641025644,0.0,0.0,0,José Campaña,Spain
235,3,4,0,3,0,2577.0,30,0.10477299185098952,0.13969732246798602,0.0,0.10477299185098952,0,Xabi Prieto,Spain
236,0,0,0,1,0,370.0,3,0.0,0.0,0.0,0.24324324324324326,0,Jason,Spain
237,0,0,0,1,0,225.0,5,0.0,0.0,0.0,0.4,0,Oier Olazábal,Spain
238,0,0,0,1,0,225.0,5,0.0,0.0,0.0,0.4,0,Raúl Navas,Spain
239,0,0,0,6,0,1534.0,33,0.0,0.0,0.0,0.3520208604954368,0,Gero Rulli,Argentina
240,1,0,0,0,0,303.0,4,0.297029702970297,0.0,0.0,0.0,0,Juanmi,Spain
241,0,0,0,4,0,1385.0,17,0.0,0.0,0.0,0.259927797833935,0,Dani Ceballos,Spain
242,2,3,0,9,0,1159.0,21,0.1553062985332183,0.2329594477998274,0.0,0.6988783433994823,0,Ander Capa,Spain
243,8,8,0,3,0,2096.0,24,0.34351145038167935,0.34351145038167935,0.0,0.12881679389312978,0,Sergi Enrich,Spain
244,0,0,0,4,0,833.0,11,0.0,0.0,0.0,0.432172869147659,0,Joan Jordán,Spain
245,0,0,0,3,0,952.0,22,0.0,0.0,0.0,0.28361344537815125,0,David Lombán,Spain
246,0,0,0,2,0,321.0,6,0.0,0.0,0.0,0.5607476635514018,0,Cote,Spain
247,0,0,0,1,0,443.0,8,0.0,0.0,0.0,0.20316027088036115,0,Kiko Casilla,Spain
248,10,2,0,9,0,2057.0,30,0.4375303840544482,0.08750607681088964,0.0,0.39377734564900346,0,Charles,Brazil
249,0,0,0,2,0,751.0,13,0.0,0.0,0.0,0.2396804260985353,0,Anaitz Arbilla,Spain
250,0,1,0,1,0,202.0,3,0.0,0.44554455445544555,0.0,0.44554455445544555,0,Rubén Peña,Spain
251,2,1,0,12,0,1789.0,24,0.10061486864169927,0.05030743432084964,0.0,0.6036892118501956,0,Gonzalo Escalante,Argentina
